"Transition_Karyotypes","n"
"2.2.2.1.2.2.3.3.2.1.2.1.1.1.1.2.1.2.2.2.2.1",1146
"2.2.2.1.2.2.3.2.2.1.2.1.1.2.1.2.1.2.2.2.2.1",1140
"2.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.1.2.2.1.2.1",1136
"2.2.2.1.2.2.3.2.1.1.2.1.2.1.1.1.1.2.2.2.2.1",1124
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.1.2.2.2.3.1",1116
"2.2.2.1.2.2.4.2.2.1.2.1.1.1.1.2.1.2.2.2.2.1",1116
"2.2.2.1.2.2.3.1.2.1.2.1.2.1.1.1.1.2.2.2.2.1",1112
"2.2.2.1.2.2.3.3.2.1.2.1.2.1.1.1.1.2.2.2.2.1",1112
"2.2.2.1.2.2.3.2.2.1.2.1.2.2.1.1.1.2.2.2.2.1",1106
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.1.2.2.1.2.1",1102
"2.2.2.1.2.2.4.2.2.1.2.1.2.1.1.1.1.2.2.2.2.1",1090
"2.1.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",1074
"2.2.2.1.2.2.3.2.2.1.1.1.2.1.1.2.1.2.2.2.2.1",1074
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.2.2.1.2.2.2.2.1",1074
"2.2.2.1.2.2.3.2.2.1.3.1.2.1.1.2.1.2.2.2.2.1",1074
"2.2.2.1.2.2.3.2.2.2.2.1.2.1.1.2.1.2.2.2.2.1",1074
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.3.1",1066
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.3.2.1",1062
"2.2.3.1.2.2.3.1.2.1.2.1.2.1.1.2.1.2.2.2.2.1",1062
"2.2.3.1.2.2.3.3.2.1.2.1.2.1.1.2.1.2.2.2.2.1",1062
"2.2.2.1.2.2.3.2.3.1.2.1.2.1.1.2.1.2.2.2.2.1",1047
"2.2.2.1.2.2.3.2.1.1.2.1.2.1.1.2.1.2.2.2.3.1",1020
"2.2.2.1.2.2.3.1.1.1.2.1.2.1.1.2.1.2.2.2.2.1",1016
"2.2.2.1.2.2.3.3.1.1.2.1.2.1.1.2.1.2.2.2.2.1",1016
"2.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.1.2.2.2.1.1",1000
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.1.2.2.2.1.1",996
"2.2.3.1.1.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",979
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.3.1.2.2.2.2.1",975
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.2.2",968
"1.2.2.1.2.2.3.2.2.1.2.2.2.1.1.2.2.2.2.2.2.1",968
"2.2.2.1.2.2.2.2.2.1.2.1.1.1.1.2.3.2.2.2.2.1",950
"2.2.3.1.2.2.3.2.2.1.2.1.2.2.1.2.1.2.2.2.2.1",931
"2.2.3.1.2.2.4.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",931
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.1.2.1",927
"2.2.2.1.2.1.2.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",896
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.2.1.2.2.2.1",896
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.2.2.2.2.2.2",896
"2.2.2.1.2.2.2.2.2.1.2.2.2.1.1.2.2.2.2.2.2.1",896
"2.2.3.1.2.2.2.2.2.1.2.1.1.1.1.2.1.2.2.2.2.1",873
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.1.2.3.2.2.1",864
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.1.1",863
"1.2.3.1.1.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",841
"1.2.3.1.2.2.2.2.2.1.2.1.1.1.1.2.1.2.2.2.2.1",836
"2.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.2.2.3.2.2.1",830
"1.2.3.2.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",814
"1.2.3.1.2.2.2.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",792
"2.2.3.2.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",787
