"Transition_Karyotypes","n"
"2.2.3.2.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.2",45
"2.2.3.1.2.2.3.2.1.1.2.1.2.1.1.2.1.2.2.2.2.2",44
"2.2.2.1.2.2.3.2.2.1.2.2.2.1.1.2.2.1.2.2.2.1",43
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.1.2.1.2.1",42
"1.2.2.1.2.2.3.2.2.1.2.1.2.2.1.2.1.1.2.2.2.1",42
"1.2.2.1.2.2.4.2.2.1.2.1.2.1.1.2.1.1.2.2.2.1",42
"2.1.2.1.1.2.2.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",42
"2.1.2.1.2.2.2.2.2.1.2.1.2.1.1.1.2.2.2.2.2.1",42
"2.1.2.2.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",42
"2.2.2.1.1.2.2.1.2.1.2.1.2.1.1.2.2.2.2.2.2.1",42
"2.2.2.1.1.2.2.2.1.1.2.1.2.1.1.2.2.2.2.2.2.1",42
"2.2.2.1.1.2.2.2.2.1.1.1.2.1.1.2.2.2.2.2.2.1",42
"2.2.2.1.1.2.2.2.2.1.2.1.2.1.1.2.2.2.2.1.2.1",42
"2.2.2.1.1.2.2.2.2.1.2.1.2.1.1.2.2.2.2.2.3.1",42
"2.2.2.1.1.2.2.2.2.1.2.1.2.1.1.2.2.2.2.3.2.1",42
"2.2.2.1.1.2.2.2.2.1.2.1.2.1.1.3.2.2.2.2.2.1",42
"2.2.2.1.1.2.2.2.2.1.2.1.2.1.2.2.2.2.2.2.2.1",42
"2.2.2.1.1.2.2.2.2.1.2.1.2.2.1.2.2.2.2.2.2.1",42
"2.2.2.1.1.2.2.2.2.1.3.1.2.1.1.2.2.2.2.2.2.1",42
"2.2.2.1.1.2.2.2.2.2.2.1.2.1.1.2.2.2.2.2.2.1",42
"2.2.2.1.1.2.2.2.3.1.2.1.2.1.1.2.2.2.2.2.2.1",42
"2.2.2.1.1.2.2.3.2.1.2.1.2.1.1.2.2.2.2.2.2.1",42
"2.2.2.1.2.2.2.1.2.1.2.1.2.1.1.1.2.2.2.2.2.1",42
"2.2.2.1.2.2.2.2.1.1.2.1.2.1.1.1.2.2.2.2.2.1",42
"2.2.2.1.2.2.2.2.2.1.1.1.2.1.1.1.2.2.2.2.2.1",42
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.1.2.2.2.1.2.1",42
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.1.2.2.2.2.3.1",42
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.1.2.2.2.3.2.1",42
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.2.1.2.2.2.2.2.1",42
"2.2.2.1.2.2.2.2.2.1.2.1.2.2.1.1.2.2.2.2.2.1",42
"2.2.2.1.2.2.2.2.2.1.3.1.2.1.1.1.2.2.2.2.2.1",42
"2.2.2.1.2.2.2.2.2.2.2.1.2.1.1.1.2.2.2.2.2.1",42
"2.2.2.1.2.2.2.2.3.1.2.1.2.1.1.1.2.2.2.2.2.1",42
"2.2.2.1.2.2.2.3.2.1.2.1.2.1.1.1.2.2.2.2.2.1",42
"2.2.2.1.2.2.3.2.2.1.2.1.2.2.1.2.2.2.2.1.2.1",42
"2.2.2.1.2.2.4.2.2.1.2.1.2.1.1.2.2.2.2.1.2.1",42
"2.2.2.1.2.2.4.2.2.1.2.1.2.2.1.2.2.2.2.2.2.1",42
"2.2.2.2.2.1.2.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",42
"2.2.2.2.2.2.2.2.2.1.2.1.2.1.1.2.2.1.2.2.2.1",42
"2.2.2.2.2.2.2.2.2.1.2.1.2.1.1.2.2.2.2.2.2.2",42
"2.2.2.2.2.2.2.2.2.1.2.2.2.1.1.2.2.2.2.2.2.1",42
"2.2.2.2.2.2.3.2.2.1.1.1.2.1.1.2.1.2.2.2.2.1",42
"2.2.2.2.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.3.2.1",42
"2.2.2.2.2.2.3.2.2.1.2.1.2.1.1.3.1.2.2.2.2.1",42
"2.2.2.2.2.2.3.2.2.1.2.1.2.1.2.2.1.2.2.2.2.1",42
"2.2.2.2.2.2.3.2.2.1.3.1.2.1.1.2.1.2.2.2.2.1",42
"2.2.2.2.2.2.3.2.2.2.2.1.2.1.1.2.1.2.2.2.2.1",42
"2.2.2.2.2.2.3.2.3.1.2.1.2.1.1.2.1.2.2.2.2.1",42
"1.1.2.1.1.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",40
"1.1.2.1.2.2.2.2.2.1.2.1.2.1.1.1.1.2.2.2.2.1",40
"1.2.2.1.1.2.2.1.2.1.2.1.2.1.1.2.1.2.2.2.2.1",40
"1.2.2.1.1.2.2.2.1.1.2.1.2.1.1.2.1.2.2.2.2.1",40
"1.2.2.1.1.2.2.2.2.1.1.1.2.1.1.2.1.2.2.2.2.1",40
"1.2.2.1.1.2.2.2.2.1.2.1.2.1.1.2.1.2.2.1.2.1",40
"1.2.2.1.1.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.3.1",40
"1.2.2.1.1.2.2.2.2.1.2.1.2.1.1.2.1.2.2.3.2.1",40
"1.2.2.1.1.2.2.2.2.1.2.1.2.1.1.3.1.2.2.2.2.1",40
"1.2.2.1.1.2.2.2.2.1.2.1.2.1.2.2.1.2.2.2.2.1",40
"1.2.2.1.1.2.2.2.2.1.2.1.2.2.1.2.1.2.2.2.2.1",40
"1.2.2.1.1.2.2.2.2.1.3.1.2.1.1.2.1.2.2.2.2.1",40
"1.2.2.1.1.2.2.2.2.2.2.1.2.1.1.2.1.2.2.2.2.1",40
"1.2.2.1.1.2.2.2.3.1.2.1.2.1.1.2.1.2.2.2.2.1",40
"1.2.2.1.1.2.2.3.2.1.2.1.2.1.1.2.1.2.2.2.2.1",40
"1.2.2.1.2.2.2.1.2.1.2.1.2.1.1.1.1.2.2.2.2.1",40
"1.2.2.1.2.2.2.2.1.1.2.1.2.1.1.1.1.2.2.2.2.1",40
"1.2.2.1.2.2.2.2.2.1.1.1.2.1.1.1.1.2.2.2.2.1",40
"1.2.2.1.2.2.2.2.2.1.2.1.2.1.1.1.1.2.2.1.2.1",40
"1.2.2.1.2.2.2.2.2.1.2.1.2.1.1.1.1.2.2.2.3.1",40
"1.2.2.1.2.2.2.2.2.1.2.1.2.1.1.1.1.2.2.3.2.1",40
"1.2.2.1.2.2.2.2.2.1.2.1.2.1.2.1.1.2.2.2.2.1",40
"1.2.2.1.2.2.2.2.2.1.2.1.2.2.1.1.1.2.2.2.2.1",40
"1.2.2.1.2.2.2.2.2.1.3.1.2.1.1.1.1.2.2.2.2.1",40
"1.2.2.1.2.2.2.2.2.2.2.1.2.1.1.1.1.2.2.2.2.1",40
"1.2.2.1.2.2.2.2.3.1.2.1.2.1.1.1.1.2.2.2.2.1",40
"1.2.2.1.2.2.2.3.2.1.2.1.2.1.1.1.1.2.2.2.2.1",40
"1.2.2.1.2.2.3.1.1.1.2.1.2.1.1.2.1.2.2.2.2.1",40
"1.2.2.1.2.2.3.1.2.1.2.1.2.1.1.2.1.2.2.2.3.1",40
"1.2.2.1.2.2.3.2.1.1.2.1.2.1.1.2.1.2.2.1.2.1",40
"1.2.2.1.2.2.3.2.1.1.2.1.2.1.1.2.1.2.2.2.3.1",40
"1.2.2.1.2.2.3.2.1.1.2.1.2.2.1.2.1.2.2.2.2.1",40
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.1.2.2.2.2",40
"1.2.2.1.2.2.3.3.1.1.2.1.2.1.1.2.1.2.2.2.2.1",40
"1.2.2.1.2.2.3.3.2.1.2.1.2.1.1.2.1.2.2.2.3.1",40
"1.2.2.1.2.2.4.2.1.1.2.1.2.1.1.2.1.2.2.2.2.1",40
"2.1.2.1.2.2.3.2.1.1.2.1.2.1.1.2.1.2.2.2.2.1",40
"2.2.2.1.2.2.3.2.1.1.1.1.2.1.1.2.1.2.2.2.2.1",40
"2.2.2.1.2.2.3.2.1.1.2.1.2.1.1.2.1.2.2.3.2.1",40
"2.2.2.1.2.2.3.2.1.1.2.1.2.1.1.3.1.2.2.2.2.1",40
"2.2.2.1.2.2.3.2.1.1.2.1.2.1.2.2.1.2.2.2.2.1",40
"2.2.2.1.2.2.3.2.1.1.3.1.2.1.1.2.1.2.2.2.2.1",40
"2.2.2.1.2.2.3.2.1.2.2.1.2.1.1.2.1.2.2.2.2.1",40
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.1.2.2",40
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.1.2",40
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.3.2.2.2",40
"2.2.2.1.2.2.3.2.2.1.2.1.2.2.1.2.2.2.2.2.2.2",40
"2.2.2.1.2.2.4.2.2.1.2.1.2.1.1.2.2.2.2.2.2.2",40
"1.2.2.1.2.2.3.2.2.1.2.2.2.1.1.2.1.1.2.2.2.1",37
"1.1.2.1.1.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",36
"1.2.2.1.1.2.3.2.2.1.1.1.2.1.1.2.1.2.2.2.2.1",36
"1.2.2.1.1.2.3.2.2.1.2.1.2.1.1.2.1.2.2.3.2.1",36
"1.2.2.1.1.2.3.2.2.1.2.1.2.1.1.3.1.2.2.2.2.1",36
"1.2.2.1.1.2.3.2.2.1.2.1.2.1.2.2.1.2.2.2.2.1",36
"1.2.2.1.1.2.3.2.2.1.3.1.2.1.1.2.1.2.2.2.2.1",36
"1.2.2.1.1.2.3.2.2.2.2.1.2.1.1.2.1.2.2.2.2.1",36
"1.2.2.1.1.2.3.2.3.1.2.1.2.1.1.2.1.2.2.2.2.1",36
"2.2.2.1.1.2.3.2.2.1.2.1.1.1.1.2.1.2.2.2.2.2",36
"2.2.2.1.1.2.3.2.2.1.2.1.2.1.1.1.1.2.2.2.2.2",36
"2.2.2.1.1.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.1.1",36
"2.2.2.1.2.1.3.2.2.1.2.1.2.1.1.2.1.2.2.2.1.1",36
"2.2.2.1.2.2.3.2.2.1.2.1.1.1.1.1.1.2.2.2.2.2",36
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.1.2.2.1.1",36
"2.2.2.1.2.2.3.2.2.1.2.1.2.2.1.2.1.2.2.1.2.1",36
"2.2.2.1.2.2.3.2.2.1.2.2.2.1.1.2.1.2.2.1.2.1",36
"2.2.2.1.2.2.3.2.2.1.2.2.2.1.1.2.1.2.2.2.1.1",36
"2.2.2.1.2.2.3.2.2.1.2.2.2.1.1.2.1.2.3.2.2.1",36
"2.2.2.1.2.2.3.2.2.1.2.2.2.2.1.2.1.2.2.2.2.1",36
"2.2.2.1.2.2.4.2.2.1.2.1.2.1.1.2.1.2.2.1.2.1",36
"2.2.2.1.2.2.4.2.2.1.2.1.2.2.1.2.1.2.2.2.2.1",36
"2.2.2.1.2.2.4.2.2.1.2.2.2.1.1.2.1.2.2.2.2.1",36
"2.2.2.2.2.2.3.2.2.1.2.1.1.1.1.2.1.2.2.2.2.2",36
"2.2.2.1.1.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.1.1",35
"2.2.2.1.2.1.3.2.2.1.2.1.2.1.1.2.2.2.2.2.1.1",35
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.1.2.2.1.1",35
"2.2.2.1.2.2.3.2.2.1.2.2.2.1.1.2.2.2.2.1.2.1",35
"2.2.2.1.2.2.3.2.2.1.2.2.2.1.1.2.2.2.2.2.1.1",35
"2.2.2.1.2.2.3.2.2.1.2.2.2.1.1.2.2.2.3.2.2.1",35
"2.2.2.1.2.2.3.2.2.1.2.2.2.2.1.2.2.2.2.2.2.1",35
"2.2.2.1.2.2.4.2.2.1.2.2.2.1.1.2.2.2.2.2.2.1",35
"1.2.2.1.2.1.3.2.2.1.2.1.2.1.1.2.1.2.2.1.2.1",34
"1.2.2.1.2.1.3.2.2.1.2.1.2.2.1.2.1.2.2.2.2.1",34
"1.2.2.1.2.1.4.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",34
"1.2.2.1.2.2.3.1.2.1.2.1.2.1.1.2.1.2.2.1.2.1",32
"1.2.2.1.2.2.3.1.2.1.2.1.2.2.1.2.1.2.2.2.2.1",32
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.1.3.1",32
"1.2.2.1.2.2.3.2.2.1.2.1.2.2.1.2.1.2.2.2.3.1",32
"1.2.2.1.2.2.3.3.2.1.2.1.2.1.1.2.1.2.2.1.2.1",32
"1.2.2.1.2.2.3.3.2.1.2.1.2.2.1.2.1.2.2.2.2.1",32
"1.2.2.1.2.2.4.1.2.1.2.1.2.1.1.2.1.2.2.2.2.1",32
"1.2.2.1.2.2.4.2.2.1.2.1.2.1.1.2.1.2.2.2.3.1",32
"1.2.2.1.2.2.4.3.2.1.2.1.2.1.1.2.1.2.2.2.2.1",32
"2.1.2.1.2.2.3.1.2.1.2.1.2.1.1.2.2.2.2.2.2.1",32
"2.1.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.3.1",32
"2.1.2.1.2.2.3.3.2.1.2.1.2.1.1.2.2.2.2.2.2.1",32
"2.2.2.1.2.1.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.2",32
"2.2.2.1.2.2.3.1.2.1.1.1.2.1.1.2.2.2.2.2.2.1",32
"2.2.2.1.2.2.3.1.2.1.2.1.2.1.1.2.2.2.2.3.2.1",32
"2.2.2.1.2.2.3.1.2.1.2.1.2.1.1.3.2.2.2.2.2.1",32
"2.2.2.1.2.2.3.1.2.1.2.1.2.1.2.2.2.2.2.2.2.1",32
"2.2.2.1.2.2.3.1.2.1.3.1.2.1.1.2.2.2.2.2.2.1",32
"2.2.2.1.2.2.3.1.2.2.2.1.2.1.1.2.2.2.2.2.2.1",32
"2.2.2.1.2.2.3.1.3.1.2.1.2.1.1.2.2.2.2.2.2.1",32
"2.2.2.1.2.2.3.2.2.1.1.1.2.1.1.2.2.2.2.2.3.1",32
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.3.3.1",32
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.3.2.2.2.2.3.1",32
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.2.2.2.2.2.2.3.1",32
"2.2.2.1.2.2.3.2.2.1.3.1.2.1.1.2.2.2.2.2.3.1",32
"2.2.2.1.2.2.3.2.2.2.2.1.2.1.1.2.2.2.2.2.3.1",32
"2.2.2.1.2.2.3.2.3.1.2.1.2.1.1.2.2.2.2.2.3.1",32
"2.2.2.1.2.2.3.3.2.1.1.1.2.1.1.2.2.2.2.2.2.1",32
"2.2.2.1.2.2.3.3.2.1.2.1.2.1.1.2.2.2.2.3.2.1",32
"2.2.2.1.2.2.3.3.2.1.2.1.2.1.1.3.2.2.2.2.2.1",32
"2.2.2.1.2.2.3.3.2.1.2.1.2.1.2.2.2.2.2.2.2.1",32
"2.2.2.1.2.2.3.3.2.1.3.1.2.1.1.2.2.2.2.2.2.1",32
"2.2.2.1.2.2.3.3.2.2.2.1.2.1.1.2.2.2.2.2.2.1",32
"2.2.2.1.2.2.3.3.3.1.2.1.2.1.1.2.2.2.2.2.2.1",32
"2.2.3.1.2.2.3.1.2.1.2.1.2.1.1.2.1.2.2.2.2.2",30
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.3.2",30
"2.2.3.1.2.2.3.3.2.1.2.1.2.1.1.2.1.2.2.2.2.2",30
"1.1.2.1.2.2.3.2.1.1.2.1.2.1.1.2.1.2.2.2.2.1",28
"1.2.2.1.2.2.3.2.1.1.1.1.2.1.1.2.1.2.2.2.2.1",28
"1.2.2.1.2.2.3.2.1.1.2.1.2.1.1.2.1.2.2.3.2.1",28
"1.2.2.1.2.2.3.2.1.1.2.1.2.1.1.3.1.2.2.2.2.1",28
"1.2.2.1.2.2.3.2.1.1.2.1.2.1.2.2.1.2.2.2.2.1",28
"1.2.2.1.2.2.3.2.1.1.3.1.2.1.1.2.1.2.2.2.2.1",28
"1.2.2.1.2.2.3.2.1.2.2.1.2.1.1.2.1.2.2.2.2.1",28
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.1.2.2",28
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.1.2",28
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.3.2.2.2",28
"1.2.2.1.2.2.3.2.2.1.2.1.2.2.1.2.1.2.2.2.2.2",28
"1.2.2.1.2.2.4.2.2.1.2.1.2.1.1.2.1.2.2.2.2.2",28
"2.1.2.1.2.2.3.1.2.1.2.1.2.1.1.2.1.2.2.2.2.1",28
"2.1.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.3.1",28
"2.1.2.1.2.2.3.3.2.1.2.1.2.1.1.2.1.2.2.2.2.1",28
"2.2.2.1.2.2.3.1.2.1.1.1.2.1.1.2.1.2.2.2.2.1",28
"2.2.2.1.2.2.3.1.2.1.2.1.2.1.1.2.1.2.2.3.2.1",28
"2.2.2.1.2.2.3.1.2.1.2.1.2.1.1.3.1.2.2.2.2.1",28
"2.2.2.1.2.2.3.1.2.1.2.1.2.1.2.2.1.2.2.2.2.1",28
"2.2.2.1.2.2.3.1.2.1.3.1.2.1.1.2.1.2.2.2.2.1",28
"2.2.2.1.2.2.3.1.2.2.2.1.2.1.1.2.1.2.2.2.2.1",28
"2.2.2.1.2.2.3.1.3.1.2.1.2.1.1.2.1.2.2.2.2.1",28
"2.2.2.1.2.2.3.2.2.1.1.1.2.1.1.2.1.2.2.2.3.1",28
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.3.3.1",28
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.3.1.2.2.2.3.1",28
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.2.2.1.2.2.2.3.1",28
"2.2.2.1.2.2.3.2.2.1.3.1.2.1.1.2.1.2.2.2.3.1",28
"2.2.2.1.2.2.3.2.2.2.2.1.2.1.1.2.1.2.2.2.3.1",28
"2.2.2.1.2.2.3.2.3.1.2.1.2.1.1.2.1.2.2.2.3.1",28
"2.2.2.1.2.2.3.3.2.1.1.1.2.1.1.2.1.2.2.2.2.1",28
"2.2.2.1.2.2.3.3.2.1.2.1.2.1.1.2.1.2.2.3.2.1",28
"2.2.2.1.2.2.3.3.2.1.2.1.2.1.1.3.1.2.2.2.2.1",28
"2.2.2.1.2.2.3.3.2.1.2.1.2.1.2.2.1.2.2.2.2.1",28
"2.2.2.1.2.2.3.3.2.1.3.1.2.1.1.2.1.2.2.2.2.1",28
"2.2.2.1.2.2.3.3.2.2.2.1.2.1.1.2.1.2.2.2.2.1",28
"2.2.2.1.2.2.3.3.3.1.2.1.2.1.1.2.1.2.2.2.2.1",28
"1.2.2.1.1.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.1.1",26
"1.2.2.1.2.1.3.2.2.1.2.1.2.1.1.2.1.2.2.2.1.1",26
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.1.2.2.1.1",26
"1.2.2.1.2.2.3.2.2.1.2.2.2.1.1.2.1.2.2.1.2.1",26
"1.2.2.1.2.2.3.2.2.1.2.2.2.1.1.2.1.2.2.2.1.1",26
"1.2.2.1.2.2.3.2.2.1.2.2.2.1.1.2.1.2.3.2.2.1",26
"1.2.2.1.2.2.3.2.2.1.2.2.2.2.1.2.1.2.2.2.2.1",26
"1.2.2.1.2.2.4.2.2.1.2.2.2.1.1.2.1.2.2.2.2.1",26
"2.1.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.1.2.2.2.1",25
"2.2.2.1.2.2.3.2.2.1.1.1.2.1.1.2.2.1.2.2.2.1",25
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.1.2.3.2.1",25
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.3.2.1.2.2.2.1",25
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.2.2.2.1.2.2.2.1",25
"2.2.2.1.2.2.3.2.2.1.3.1.2.1.1.2.2.1.2.2.2.1",25
"2.2.2.1.2.2.3.2.2.2.2.1.2.1.1.2.2.1.2.2.2.1",25
"2.2.2.1.2.2.3.2.3.1.2.1.2.1.1.2.2.1.2.2.2.1",25
"1.1.2.2.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",24
"1.2.2.1.2.2.3.2.2.1.2.1.2.2.1.2.1.2.2.1.2.1",24
"1.2.2.1.2.2.4.2.2.1.2.1.2.1.1.2.1.2.2.1.2.1",24
"1.2.2.1.2.2.4.2.2.1.2.1.2.2.1.2.1.2.2.2.2.1",24
"1.2.2.2.2.2.3.2.2.1.1.1.2.1.1.2.1.2.2.2.2.1",24
"1.2.2.2.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.3.2.1",24
"1.2.2.2.2.2.3.2.2.1.2.1.2.1.1.3.1.2.2.2.2.1",24
"1.2.2.2.2.2.3.2.2.1.2.1.2.1.2.2.1.2.2.2.2.1",24
"1.2.2.2.2.2.3.2.2.1.3.1.2.1.1.2.1.2.2.2.2.1",24
"1.2.2.2.2.2.3.2.2.2.2.1.2.1.1.2.1.2.2.2.2.1",24
"1.2.2.2.2.2.3.2.3.1.2.1.2.1.1.2.1.2.2.2.2.1",24
"2.1.2.2.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",24
"2.2.2.1.2.1.3.2.2.1.2.1.2.1.1.2.2.2.2.2.2.2",24
"2.2.2.2.2.2.2.1.2.1.2.1.2.1.1.2.1.2.2.2.2.1",24
"2.2.2.2.2.2.2.2.1.1.2.1.2.1.1.2.1.2.2.2.2.1",24
"2.2.2.2.2.2.2.2.2.1.1.1.2.1.1.2.1.2.2.2.2.1",24
"2.2.2.2.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.1.2.1",24
"2.2.2.2.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.3.1",24
"2.2.2.2.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.3.2.1",24
"2.2.2.2.2.2.2.2.2.1.2.1.2.1.1.3.1.2.2.2.2.1",24
"2.2.2.2.2.2.2.2.2.1.2.1.2.1.2.2.1.2.2.2.2.1",24
"2.2.2.2.2.2.2.2.2.1.2.1.2.2.1.2.1.2.2.2.2.1",24
"2.2.2.2.2.2.2.2.2.1.3.1.2.1.1.2.1.2.2.2.2.1",24
"2.2.2.2.2.2.2.2.2.2.2.1.2.1.1.2.1.2.2.2.2.1",24
"2.2.2.2.2.2.2.2.3.1.2.1.2.1.1.2.1.2.2.2.2.1",24
"2.2.2.2.2.2.2.3.2.1.2.1.2.1.1.2.1.2.2.2.2.1",24
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.1.1.2.2.2.2",23
"2.1.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.1.2.2.2.1",22
"2.2.2.1.2.2.3.2.2.1.1.1.2.1.1.2.1.1.2.2.2.1",22
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.1.2.3.2.1",22
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.3.1.1.2.2.2.1",22
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.2.2.1.1.2.2.2.1",22
"2.2.2.1.2.2.3.2.2.1.3.1.2.1.1.2.1.1.2.2.2.1",22
"2.2.2.1.2.2.3.2.2.2.2.1.2.1.1.2.1.1.2.2.2.1",22
"2.2.2.1.2.2.3.2.3.1.2.1.2.1.1.2.1.1.2.2.2.1",22
"2.1.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.1.2.1",21
"2.1.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.1.1",21
"2.1.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.3.2.2.1",21
"2.1.2.1.2.2.3.2.2.1.2.1.2.2.1.2.2.2.2.2.2.1",21
"2.1.2.1.2.2.4.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",21
"2.1.2.2.2.2.2.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",21
"2.2.2.1.2.1.3.2.2.1.2.2.2.1.1.2.1.2.2.2.2.1",21
"2.2.2.1.2.1.3.2.2.1.2.2.2.1.1.2.2.2.2.2.2.1",21
"2.2.2.1.2.2.3.1.2.1.2.1.2.1.1.2.2.2.2.2.1.1",21
"2.2.2.1.2.2.3.2.1.1.2.1.2.1.1.2.2.2.2.2.1.1",21
"2.2.2.1.2.2.3.2.2.1.1.1.2.1.1.2.2.2.2.1.2.1",21
"2.2.2.1.2.2.3.2.2.1.1.1.2.1.1.2.2.2.2.2.1.1",21
"2.2.2.1.2.2.3.2.2.1.1.1.2.1.1.2.2.2.3.2.2.1",21
"2.2.2.1.2.2.3.2.2.1.1.1.2.2.1.2.2.2.2.2.2.1",21
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.1.1.1",21
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.3.1.1",21
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.3.3.2.1",21
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.3.2.2.2.1.2.1",21
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.3.2.2.2.2.1.1",21
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.3.2.2.3.2.2.1",21
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.2.2.2.2.2.1.2.1",21
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.2.2.2.2.2.2.1.1",21
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.2.2.2.2.3.2.2.1",21
"2.2.2.1.2.2.3.2.2.1.2.1.2.2.1.2.2.2.2.2.1.1",21
"2.2.2.1.2.2.3.2.2.1.2.1.2.2.1.2.2.2.2.3.2.1",21
"2.2.2.1.2.2.3.2.2.1.2.1.2.2.1.3.2.2.2.2.2.1",21
"2.2.2.1.2.2.3.2.2.1.2.1.2.2.2.2.2.2.2.2.2.1",21
"2.2.2.1.2.2.3.2.2.1.3.1.2.1.1.2.2.2.2.1.2.1",21
"2.2.2.1.2.2.3.2.2.1.3.1.2.1.1.2.2.2.2.2.1.1",21
"2.2.2.1.2.2.3.2.2.1.3.1.2.1.1.2.2.2.3.2.2.1",21
"2.2.2.1.2.2.3.2.2.1.3.1.2.2.1.2.2.2.2.2.2.1",21
"2.2.2.1.2.2.3.2.2.2.2.1.2.1.1.2.2.2.2.1.2.1",21
"2.2.2.1.2.2.3.2.2.2.2.1.2.1.1.2.2.2.2.2.1.1",21
"2.2.2.1.2.2.3.2.2.2.2.1.2.1.1.2.2.2.3.2.2.1",21
"2.2.2.1.2.2.3.2.2.2.2.1.2.2.1.2.2.2.2.2.2.1",21
"2.2.2.1.2.2.3.2.3.1.2.1.2.1.1.2.2.2.2.1.2.1",21
"2.2.2.1.2.2.3.2.3.1.2.1.2.1.1.2.2.2.2.2.1.1",21
"2.2.2.1.2.2.3.2.3.1.2.1.2.1.1.2.2.2.3.2.2.1",21
"2.2.2.1.2.2.3.2.3.1.2.1.2.2.1.2.2.2.2.2.2.1",21
"2.2.2.1.2.2.3.3.2.1.2.1.2.1.1.2.2.2.2.2.1.1",21
"2.2.2.1.2.2.4.2.2.1.1.1.2.1.1.2.2.2.2.2.2.1",21
"2.2.2.1.2.2.4.2.2.1.2.1.2.1.1.2.2.2.2.2.1.1",21
